"filename", "language", "C++", "Makefile", "C", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 12, 0, 0, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 0, 0, 20, 1, 4, 25
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 0, 0, 10, 2, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\platform.h", "C", 0, 0, 5, 0, 1, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\types.h", "C", 0, 0, 24, 0, 8, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 0, 0, 36, 9, 9, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C++", 6, 0, 0, 0, 1, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 0, 0, 31, 0, 5, 36
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h", "C++", 9, 0, 0, 0, 1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 36, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 0, 160, 2, 13, 175
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 15, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 7, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 0, 58, 0, 8, 66
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 0, 0, 12, 0, 2, 14
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 0, 0, 1, 1
"Total", "-", 73, 12, 356, 19, 76, 536
