"filename", "language", "Makefile", "Python", "C", "C++", "Assembler file", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 0, 0, -2, 0, 0, 2, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\types.h", "C", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 0, 0, 17, 0, 0, 0, 2, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h", "C", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 0, 0, -1, 0, 0, 4, 0, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 0, 0, 39, 0, 0, -1, 7, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 0, 0, 44, 0, 0, 0, 0, 44
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 0, 0, 45, 0, 0, 5, 7, 57
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h", "C++", 0, 0, 0, 31, 0, 1, 1, 33
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 0, 0, 44, 0, 0, 2, 5, 51
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h", "C++", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\usertest.c", "C", 0, 0, -48, 0, 0, -5, -6, -59
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\usertest.h", "C++", 0, 0, 0, -4, 0, 0, 0, -4
"c:\Users\45228\Desktop\share\ddos\code\kernel\output\kernel.asm", "Assembler file", 0, 0, 0, 0, 6996, 0, 389, 7385
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\sysdef.h", "C++", 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 0, 0, 178, 0, 0, 3, 20, 201
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C", 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C++", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 0, 39, 0, 0, 21, 7, 67
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 19, 0, 0, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 6, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 8, 19, 386, 66, 6996, 34, 453, 7962
