"filename", "language", "C", "C++", "Makefile", "Python", "Assembler file", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 40, 0, 0, 0, 0, 13, 18, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 10, 0, 0, 0, 0, 2, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\types.h", "C", 31, 0, 0, 0, 0, 0, 10, 41
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 50, 0, 0, 0, 0, 12, 14, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\atomic.h", "C++", 0, 18, 0, 0, 0, 0, 11, 29
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 106, 0, 0, 0, 0, 2, 10, 118
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h", "C", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 49, 0, 0, 0, 0, 8, 6, 63
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\memlayout.h", "C++", 0, 26, 0, 0, 0, 36, 12, 74
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c", "C", 21, 0, 0, 0, 0, 5, 5, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h", "C++", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 118, 0, 0, 0, 0, 0, 23, 141
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 100, 0, 0, 0, 0, 1, 6, 107
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 137, 0, 0, 0, 0, 31, 45, 213
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h", "C", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 45, 0, 0, 0, 0, 5, 7, 57
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h", "C++", 0, 31, 0, 0, 0, 1, 1, 33
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 132, 0, 0, 0, 0, 25, 18, 175
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h", "C++", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 46, 0, 0, 0, 0, 0, 8, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h", "C", 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\output\kernel.asm", "Assembler file", 0, 0, 0, 0, 6996, 0, 389, 7385
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\sysdef.h", "C++", 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 178, 0, 0, 0, 0, 3, 20, 201
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C", 6, 0, 0, 0, 0, 0, 5, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C++", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 39, 0, 0, 0, 0, 21, 7, 67
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 0, 0, 19, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 0, 36, 0, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 38, 0, 0, 0, 0, 0, 6, 44
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 163, 0, 0, 0, 0, 3, 14, 180
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 0, 15, 0, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 0, 7, 0, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 115, 0, 0, 0, 0, 0, 12, 127
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 6, 0, 0, 0, 3, 9
