"filename", "language", "Makefile", "C++", "C", "Assembler file", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 0, 11, 0, 1, 5, 17
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\types.h", "C", 0, 0, -31, 0, 0, -10, -41
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\atomic.h", "C++", 0, -18, 0, 0, 0, -11, -29
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 0, 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\memlayout.h", "C++", 0, -26, 0, 0, -36, -12, -74
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 0, 0, 14, 0, 2, 8, 24
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 0, 0, 3, 0, -4, 1, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h", "C", 0, 0, 79, 0, 114, 26, 219
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c", "C", 0, 0, 91, 0, 0, 20, 111
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h", "C++", 0, 8, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h", "C++", 0, 28, 0, 0, 36, 12, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 0, 0, 39, 0, 1, 13, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C", 0, 0, 71, 0, 2, 19, 92
"c:\Users\45228\Desktop\share\ddos\code\kernel\output\kernel.asm", "Assembler file", 0, 0, 0, 1355, 0, 46, 1401
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 0, 11, 0, 39, 8, 58
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C++", 0, 58, 0, 0, 0, 17, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C", 0, 0, 42, 0, 0, 14, 56
"Total", "-", 2, 50, 332, 1355, 155, 159, 2053
