"filename", "language", "C", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 1, 0, 1, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 26, 1, -2, 25
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 6, 1, 3, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h", "C", 0, 0, -1, -1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", -1, 0, 0, -1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 5, 10, -1, 14
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 207, 8, 22, 237
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C", 21, 0, 2, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", -7, 7, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 1, 0, 0, 1
"Total", "-", 261, 27, 24, 312
