"filename", "language", "C", "C++", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 0, 18, 0, 4, 22
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 40, 0, 0, 0, 13, 18, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 22, 0, 0, 0, 1, 7, 30
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 10, 0, 0, 0, 2, 4, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 50, 0, 0, 0, 12, 14, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C", 7, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 107, 0, 0, 0, 2, 11, 120
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h", "C", 10, 0, 0, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 57, 0, 0, 0, 3, 6, 66
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c", "C", 21, 0, 0, 0, 5, 5, 31
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h", "C++", 0, 9, 0, 0, 0, 1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 144, 0, 0, 0, 1, 21, 166
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 106, 0, 0, 0, 2, 9, 117
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 150, 0, 0, 0, 33, 51, 234
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", 48, 0, 0, 0, 0, 6, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h", "C", 18, 0, 0, 0, 0, 1, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 45, 0, 0, 0, 5, 7, 57
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h", "C++", 0, 31, 0, 0, 1, 1, 33
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 17, 0, 0, 0, 0, 5, 22
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 140, 0, 0, 0, 31, 18, 189
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h", "C++", 0, 17, 0, 0, 0, 3, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h", "C", 79, 0, 0, 0, 114, 26, 219
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 47, 0, 0, 0, 0, 8, 55
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h", "C", 11, 0, 0, 0, 0, 1, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c", "C", 91, 0, 0, 0, 0, 21, 112
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h", "C++", 0, 8, 0, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h", "C++", 0, 28, 0, 0, 36, 12, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 412, 0, 0, 0, 8, 61, 481
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C", 119, 0, 0, 0, 1, 31, 151
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\sysdef.h", "C++", 0, 26, 0, 0, 0, 0, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c", "C", 178, 0, 0, 0, 3, 20, 201
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h", "C", 6, 0, 0, 0, 0, 5, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h", "C++", 0, 6, 0, 0, 0, 1, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 43, 0, 0, 0, 67, 15, 125
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h", "C++", 0, 4, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py", "Python", 0, 0, 19, 0, 2, 6, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h", "C", 16, 0, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h", "C++", 0, 36, 0, 0, 4, 5, 45
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h", "C++", 0, 58, 0, 0, 0, 17, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c", "C", 38, 0, 0, 0, 0, 6, 44
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h", "C++", 0, 10, 0, 0, 0, 3, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 164, 0, 0, 0, 3, 14, 181
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 0, 15, 0, 0, 0, 6, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h", "C++", 0, 7, 0, 0, 1, 4, 12
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 120, 0, 0, 0, 0, 13, 133
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 17, 0, 0, 0, 0, 2, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C", 42, 0, 0, 0, 0, 14, 56
"c:\Users\45228\Desktop\share\ddos\code\user\Makefile", "Makefile", 0, 0, 0, 6, 0, 3, 9
"Total", "-", 2375, 255, 19, 24, 350, 495, 3518
