"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 0, 2, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.c", "C", 0, 231, 0, 28, 259
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.h", "C++", 8, 0, 0, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c", "C", 0, 0, 0, -1, -1
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 0, 8, 1, 1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h", "C", 0, 4, 4, 3, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 0, 363, 0, 66, 429
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h", "C++", 10, 0, 0, 4, 14
"Total", "-", 18, 609, 5, 104, 736
