"filename", "language", "C", "C++", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 8, 0, 0, 0, 2, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile", "Makefile", 0, 0, 4, 0, 4, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c", "C", 186, 0, 0, 20, 34, 240
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h", "C++", 0, 72, 0, 13, 11, 96
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c", "C", 104, 0, 0, 10, 26, 140
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h", "C++", 0, 48, 0, 0, 6, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c", "C", 52, 0, 0, 5, 10, 67
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h", "C++", 0, 41, 0, 9, 9, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c", "C", 101, 0, 0, 14, 23, 138
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h", "C++", 0, 17, 0, 0, 7, 24
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h", "C++", 0, 22, 0, 2, 6, 30
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c", "C", 102, 0, 0, 0, 14, 116
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h", "C++", 0, 17, 0, 0, 3, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 2, 0, 0, 2, 1, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c", "C", 5, 0, 0, 2, 2, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h", "C", 1, 0, 0, 0, 1, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 1, 0, 0, 0, 1, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h", "C", 2, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 11, 0, 0, 0, 4, 15
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h", "C++", 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, 0, 0, 0, -1, -1
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c", "C", 11, 0, 0, -3, 1, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h", "C++", 0, 2, 0, 0, 0, 2
"Total", "-", 586, 221, 5, 74, 164, 1050
