Date : 2024-07-27 13:11:34
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 104 files,  8217 codes, 506 comments, 1391 blanks, all 10114 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         53 |      6,852 |        293 |      1,042 |      8,187 |
| C++      |         46 |      1,296 |        209 |        326 |      1,831 |
| Python   |          2 |         38 |          4 |         12 |         54 |
| Makefile |          3 |         31 |          0 |         11 |         42 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        104 |      8,217 |        506 |      1,391 |     10,114 |
| kernel                                                                      |         83 |      7,325 |        363 |      1,254 |      8,942 |
| kernel (Files)                                                              |          1 |         21 |          0 |          4 |         25 |
| kernel\boot                                                                 |          1 |         40 |         13 |         18 |         71 |
| kernel\config                                                               |          3 |         82 |          3 |         16 |        101 |
| kernel\driver                                                               |         14 |        836 |        105 |        173 |      1,114 |
| kernel\driver (Files)                                                       |          3 |         65 |         12 |         20 |         97 |
| kernel\driver\virtio                                                        |         11 |        771 |         93 |        153 |      1,017 |
| kernel\fs                                                                   |          3 |         46 |          0 |          7 |         53 |
| kernel\kernel                                                               |         15 |      1,671 |         95 |        223 |      1,989 |
| kernel\libs                                                                 |          3 |        139 |          1 |         51 |        191 |
| kernel\mm                                                                   |         15 |      3,081 |         63 |        532 |      3,676 |
| kernel\test                                                                 |          9 |        347 |         63 |         57 |        467 |
| kernel\util                                                                 |         19 |      1,062 |         20 |        173 |      1,255 |
| user                                                                        |         21 |        892 |        143 |        137 |      1,172 |
| user (Files)                                                                |          1 |          6 |          0 |          3 |          9 |
| user\libs                                                                   |         18 |        674 |        132 |        123 |        929 |
| user\test                                                                   |          2 |        212 |         11 |         11 |        234 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile                      | Makefile |         21 |          0 |          4 |         25 |
