"filename", "language", "C++", "C", "Makefile", "Python", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C++", 1, 0, 0, 0, 0, -1, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 5, 0, 0, 0, 0, 0, 5
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 0, 3, 0, 0, 0, 0, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 0, 19, 0, 0, 60, 6, 85
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 0, 11, 0, 0, 0, -1, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 0, 16, 0, 0, 0, 0, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 0, 22, 0, 0, 0, 4, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 0, 10, 0, 0, -1, 0, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c", "C", 0, 2, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c", "C", 0, 0, 0, 0, 1, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 0, -1, 0, 0, -1, 0, -2
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c", "C", 0, 50, 0, 0, 1, 7, 58
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h", "C++", 29, 0, 0, 0, 0, 4, 33
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.c", "C", 0, 41, 0, 0, 5, 7, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.h", "C++", 7, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c", "C", 0, 51, 0, 0, 3, 6, 60
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.h", "C++", 7, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.c", "C", 0, 196, 0, 0, 2, 26, 224
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.h", "C++", 41, 0, 0, 0, 0, 6, 47
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c", "C", 0, 13, 0, 0, 0, 2, 15
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.h", "C", 0, 2, 0, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h", "C++", 2, 0, 0, 0, 0, 2, 4
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.c", "C", 0, 98, 0, 0, 0, 9, 107
"c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.h", "C++", 25, 0, 0, 0, 0, 5, 30
"c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h", "C++", 2, 0, 0, 0, 0, 2, 4
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 16, 0, 0, 0, 4, 20
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 4, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py", "Python", 0, 0, 0, 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 286, 0, 0, 10, 36, 332
"Total", "-", 119, 839, 2, 1, 80, 126, 1167
