"filename", "language", "Python", "C++", "C", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 0, 25, 0, 4, 29
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 0, 0, 40, 0, 13, 18, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C++", 0, 44, 0, 0, 1, 13, 58
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C++", 0, 16, 0, 0, 2, 3, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\mboxbuf.h", "C", 0, 0, 19, 0, 0, 4, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 0, 52, 0, 0, 0, 3, 55
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile", "Makefile", 0, 0, 0, 4, 0, 4, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 0, 0, 54, 0, 12, 15, 81
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C++", 0, 7, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c", "C", 0, 0, 251, 0, 44, 46, 341
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h", "C++", 0, 81, 0, 0, 25, 12, 118
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c", "C", 0, 0, 104, 0, 10, 26, 140
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h", "C++", 0, 48, 0, 0, 0, 6, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c", "C", 0, 0, 54, 0, 6, 10, 70
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h", "C++", 0, 41, 0, 0, 9, 9, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c", "C", 0, 0, 101, 0, 14, 23, 138
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h", "C++", 0, 17, 0, 0, 0, 7, 24
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h", "C++", 0, 21, 0, 0, 2, 6, 29
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c", "C", 0, 0, 54, 0, 0, 5, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h", "C++", 0, 18, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.h", "C++", 0, 7, 0, 0, 0, 2, 9
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.c", "C", 0, 0, 47, 0, 0, 5, 52
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.h", "C++", 0, 10, 0, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 0, 0, 109, 0, 2, 11, 122
