"filename", "language", "C", "C++", "Python", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C++", 0, 1, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 0, 4, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 7, 0, 0, 9, 2, 18
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 24, 0, 0, -1, 3, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 8, 0, 0, 0, 0, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 48, 0, 0, 2, 3, 53
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c", "C", 13, 0, 0, 0, 3, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h", "C", 14, 0, 0, 1, 1, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.c", "C", 124, 0, 0, 9, 11, 144
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.h", "C++", 0, 7, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c", "C", 20, 0, 0, 0, 1, 21
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 16, 0, 0, 0, 3, 19
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 4, 0, 0, 0, 0, 4
"c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py", "Python", 0, 0, 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 51, 0, 0, -23, 1, 29
"Total", "-", 329, 12, 1, -3, 29, 368
