"filename", "language", "C", "C++", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C++", 0, 3, 0, 3, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 4, 0, 2, 0, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 10, 0, 12, 0, 22
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c", "C", -3, 0, 0, 0, -3
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c", "C", 0, 0, 1, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c", "C", -2, 0, 2, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c", "C", 37, 0, 1, 1, 39
"c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h", "C++", 0, 5, 1, 0, 6
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c", "C", 67, 0, 6, 3, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h", "C", 7, 0, 0, 0, 7
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.c", "C", 26, 0, 8, 2, 36
"c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c", "C", 20, 0, 0, 1, 21
"c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.c", "C", -1, 0, 1, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c", "C", 3, 0, 0, 0, 3
"Total", "-", 168, 8, 34, 10, 220
