"filename", "language", "C++", "C", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 1, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 5, 0, 2, 4, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 0, 12, 0, 0, -1, 11
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\stat.h", "C++", 22, 0, 0, 0, 5, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 13, 0, 0, 8, 4, 25
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\Makefile", "Makefile", 0, 0, 6, 0, 4, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.c", "C", 0, 101, 0, 12, 14, 127
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.h", "C++", 21, 0, 0, 0, 5, 26
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_null.c", "C", 0, 29, 0, 0, 6, 35
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdin.c", "C", 0, 92, 0, 0, 13, 105
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdout.c", "C", 0, 48, 0, 0, 8, 56
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.c", "C", 0, 221, 0, 3, 19, 243
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.h", "C", 0, 43, 0, 1, 6, 50
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.c", "C", 0, 66, 0, 1, 8, 75
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.h", "C", 0, 27, 0, 0, 7, 34
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.c", "C", 0, 39, 0, 0, 5, 44
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.h", "C++", 16, 0, 0, 0, 3, 19
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.c", "C", 0, 56, 0, 0, 15, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.h", "C", 0, 119, 0, 123, 26, 268
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.c", "C", 0, 67, 0, 0, 9, 76
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.h", "C++", 47, 0, 0, 83, 11, 141
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsdev.c", "C", 0, 216, 0, 19, 18, 253
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsfile.c", "C", 0, 124, 0, 0, 9, 133
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfslookup.c", "C", 0, 66, 0, 9, 3, 78
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfspath.c", "C", 0, 82, 0, 0, 8, 90
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c", "C", 0, -11, 0, 0, 0, -11
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c", "C", 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c", "C", 0, 39, 0, 0, 2, 41
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h", "C", 0, 3, 0, 0, 0, 3
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c", "C", 0, 10, 0, 0, 0, 10
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c", "C", 0, 95, 0, 9, 7, 111
"c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c", "C", 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c", "C", 0, 1, 0, 1, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c", "C", 0, -1, 0, 1, 0, 0
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c", "C", 0, 13, 0, 0, 0, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h", "C++", 0, 0, 0, 0, -1, -1
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c", "C", 0, 11, 0, 0, 2, 13
"c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h", "C", 0, 2, 0, 0, 0, 2
"c:\Users\45228\Desktop\share\ddos\code\user\libs\file.h", "C", 0, 22, 0, 0, 3, 25
"c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c", "C", 0, 23, 0, 0, 2, 25
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c", "C", 0, 10, 0, 0, 1, 11
"c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c", "C", 0, 1, 0, 0, 1, 2
"c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h", "C", 0, 1, 0, 0, 0, 1
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c", "C", 0, 24, 0, 0, 8, 32
"c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h", "C", 0, 7, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c", "C", 0, 81, 0, 7, 6, 94
"Total", "-", 120, 1748, 7, 279, 241, 2395
