"filename", "language", "C++", "C", "Assembler file", "Python", "Makefile", "comment", "blank", "total"
"c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile", "Makefile", 0, 0, 0, 0, 26, 0, 4, 30
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\entry.S", "Assembler file", 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c", "C", 0, 40, 0, 0, 0, 13, 18, 71
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h", "C", 0, 62, 0, 0, 0, 7, 25, 94
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h", "C", 0, 28, 0, 0, 0, 2, 2, 32
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\fs_img.h", "C", 0, 47, 0, 0, 0, 9, 14, 70
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\mboxbuf.h", "C", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sigaction.h", "C", 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\stat.h", "C++", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h", "C++", 79, 0, 0, 0, 0, 8, 8, 95
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile", "Makefile", 0, 0, 0, 0, 4, 0, 4, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c", "C", 0, 54, 0, 0, 0, 12, 15, 81
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h", "C++", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c", "C", 0, 255, 0, 0, 0, 44, 46, 345
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h", "C", 0, 80, 0, 0, 0, 26, 12, 118
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c", "C", 0, 104, 0, 0, 0, 10, 26, 140
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h", "C++", 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c", "C", 0, 54, 0, 0, 0, 6, 10, 70
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h", "C++", 41, 0, 0, 0, 0, 9, 9, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c", "C", 0, 101, 0, 0, 0, 14, 23, 138
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h", "C++", 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h", "C++", 21, 0, 0, 0, 0, 2, 6, 29
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c", "C", 0, 54, 0, 0, 0, 0, 5, 59
"c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h", "C++", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.c", "C", 0, 56, 0, 0, 0, 0, 3, 59
