Date : 2024-11-18 18:08:13
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 172 files,  17482 codes, 1243 comments, 2430 blanks, all 21155 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| C              |        114 |     16,033 |      1,191 |      2,125 |     19,349 |
| C++            |         46 |      1,023 |         48 |        225 |      1,296 |
| Assembler file |          6 |        337 |          0 |         53 |        390 |
| Makefile       |          4 |         46 |          0 |         15 |         61 |
| Python         |          2 |         43 |          4 |         12 |         59 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        172 |     17,482 |      1,243 |      2,430 |     21,155 |
| kernel                                                                      |        141 |     14,067 |        967 |      1,976 |     17,010 |
| kernel (Files)                                                              |          1 |         26 |          0 |          4 |         30 |
| kernel\boot                                                                 |          2 |         53 |         13 |         21 |         87 |
| kernel\config                                                               |          7 |        296 |         26 |         66 |        388 |
| kernel\driver                                                               |         14 |        858 |        125 |        171 |      1,154 |
| kernel\driver (Files)                                                       |          3 |         65 |         12 |         20 |         97 |
| kernel\driver\virtio                                                        |         11 |        793 |        113 |        151 |      1,057 |
| kernel\fs                                                                   |         33 |      3,454 |        276 |        382 |      4,112 |
| kernel\fs (Files)                                                           |          9 |        613 |          7 |         66 |        686 |
| kernel\fs\devs                                                              |          6 |        392 |         12 |         60 |        464 |
| kernel\fs\pipe                                                              |          6 |        556 |          1 |         54 |        611 |
| kernel\fs\sfs                                                               |          4 |        992 |         21 |         94 |      1,107 |
| kernel\fs\vfs                                                               |          8 |        901 |        235 |        108 |      1,244 |
| kernel\kernel                                                               |         18 |      2,917 |        270 |        336 |      3,523 |
| kernel\libs                                                                 |          3 |        140 |          2 |         51 |        193 |
| kernel\mm                                                                   |         15 |      3,280 |         98 |        543 |      3,921 |
| kernel\schedule                                                             |          8 |        484 |         33 |         49 |        566 |
| kernel\syn                                                                  |         12 |      1,108 |         35 |        121 |      1,264 |
| kernel\test                                                                 |          9 |        342 |         66 |         53 |        461 |
| kernel\util                                                                 |         19 |      1,109 |         23 |        179 |      1,311 |
| user                                                                        |         31 |      3,415 |        276 |        454 |      4,145 |
| user (Files)                                                                |          1 |          6 |          0 |          3 |          9 |
| user\libs                                                                   |         28 |      1,389 |        133 |        256 |      1,778 |
| user\test                                                                   |          2 |      2,020 |        143 |        195 |      2,358 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                    | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\45228\Desktop\share\ddos\code\kernel\Makefile                      | Makefile       |         26 |          0 |          4 |         30 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\entry.S                  | Assembler file |         13 |          0 |          3 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\boot\start.c                  | C              |         40 |         13 |         18 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\config.h               | C              |         62 |          7 |         25 |         94 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\error.h                | C              |         28 |          2 |          2 |         32 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\fs_img.h               | C              |         47 |          9 |         14 |         70 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\mboxbuf.h              | C              |         19 |          0 |          4 |         23 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sigaction.h            | C              |         39 |          0 |          8 |         47 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\stat.h                 | C++            |         22 |          0 |          5 |         27 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\config\sysdef.h               | C++            |         79 |          8 |          8 |         95 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\Makefile               | Makefile       |          4 |          0 |          4 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.c                 | C              |         54 |         12 |         15 |         81 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\uart.h                 | C++            |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.c    | C              |        255 |         46 |         45 |        346 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-blk.h    | C              |         80 |         26 |         12 |        118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.c   | C              |        104 |         10 |         26 |        140 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-mmio.h   | C++            |         48 |          0 |          6 |         54 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.c   | C              |         54 |          6 |         10 |         70 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-ring.h   | C++            |         41 |          9 |          9 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.c    | C              |        101 |         14 |         23 |        138 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio-rng.h    | C++            |         17 |          0 |          7 |         24 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio.h        | C++            |         21 |          2 |          6 |         29 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.c | C              |         54 |          0 |          5 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\driver\virtio\virtio_device.h | C++            |         18 |          0 |          2 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\Makefile                   | Makefile       |         10 |          0 |          4 |         14 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.c                 | C              |        102 |         12 |         14 |        128 |
